Threshold,Morph_Kernel,Close_Iter,Open_Iter,Avg_Loss,Success_Rate,Successful,Good_Detections,Good_Rate
70,3,2,4,56.75354,0.8275,331,269,0.6725
70,3,3,1,69.54284,0.835,334,243,0.6075
70,3,3,2,68.860435,0.835,334,252,0.63
70,3,3,3,68.25607,0.835,334,255,0.6375
70,3,3,4,68.67324,0.825,330,253,0.6325
70,3,4,1,80.69103,0.8325,333,218,0.545
70,3,4,2,71.72978,0.8325,333,232,0.58
70,3,4,3,69.71823,0.8325,333,239,0.5975
70,3,4,4,69.59788,0.82,328,238,0.595
70,5,1,1,61.439224,0.835,334,277,0.6925
70,5,1,2,54.657463,0.825,330,276,0.69
70,5,1,3,61.10573,0.665,266,215,0.5375
70,5,1,4,96.33217,0.465,186,124,0.31
70,5,2,1,67.44112,0.8325,333,259,0.6475
70,5,2,2,66.688354,0.8225,329,264,0.66
70,5,2,3,78.55838,0.6725,269,208,0.52
70,5,2,4,103.42634,0.5,200,130,0.325
70,5,3,1,73.38488,0.83,332,227,0.5675
70,5,3,2,71.92933,0.82,328,236,0.59
70,5,3,3,81.38572,0.6775,271,195,0.4875
70,5,3,4,100.262695,0.535,214,128,0.32
70,5,4,1,70.54187,0.7925,317,212,0.53
70,5,4,2,64.262375,0.78,312,220,0.55
70,5,4,3,80.72705,0.6875,275,182,0.455
70,5,4,4,100.37492,0.56,224,120,0.3
70,7,1,1,65.79193,0.835,334,276,0.69
70,7,1,2,80.42273,0.6575,263,208,0.52
70,7,1,3,135.85374,0.4,160,88,0.22
70,7,1,4,243.8817,0.2375,95,17,0.0425
70,7,2,1,65.49235,0.8325,333,273,0.6825
70,7,2,2,78.9783,0.6675,267,208,0.52
70,7,2,3,113.878265,0.47,188,99,0.2475
